Index,Country,City,Hotel,Address,Popularity
422,US,Chicago,Graduate Evanston,"1625 Hinman Ave, Evanston, Illinois",204
423,US,Chicago,Days Inn by Wyndham Great Lakes - N. Chicago,"3000 N Skokie Hwy, North Chicago, Lake County, Illinois",655
424,US,Chicago,City Suites Hotel Chicago,"933 West Belmont Ave, Northalsted, Chicago, Illinois",276
425,US,Chicago,Fairfield Inn & Suites New Buffalo,"11400 Holiday Dr, New Buffalo, Berrien County, Michigan",360
426,US,Chicago,"Crowne Plaza Lombard Downers Grove, an IHG Hotel","1250 Roosevelt Rd, Glen Ellyn, DuPage County, Illinois",308
427,US,Chicago,Quality Inn O'Hare Airport,"3801 North Mannheim Rd, Schiller Park, Illinois",450
428,US,Chicago,Victoria Inn Hotel & Convention Centre,"555 Arthur St W, Thunder Bay, Thunder Bay District, Ontario, Canada",338
429,US,Chicago,Extended Stay America - Chicago - Darien,"2345 Sokol, Darien, DuPage County, Illinois",72
430,US,Chicago,Hotel Saint Clair- Magnificent Mile,"162 E Ontario St, Chicago, Illinois",324
431,US,Chicago,"Holiday Inn Express & Suites Chicago-Midway Airport, an IHG Hotel","6500 South Cicero Avenue, Chicago, Illinois",233
432,US,Chicago,Navy Lodge Great Lakes,"2500 Meridian Drive, North Chicago, Lake County, Illinois",218
433,US,Chicago,Wrigley Hostel,"3514 N Sheffield Ave, Chicago, Illinois",244
434,US,Chicago,Aloft Chicago Mag Mile,"243 E Ontario St, Chicago, Illinois",249
435,US,Chicago,Residence Inn by Marriott Chicago Bolingbrook,"180 Remington Boulevard, Bolingbrook, DuPage County, Illinois",34
436,US,Chicago,Homewood Suites by Hilton Chicago Downtown South Loop,"59 E. 11th Street, Chicago, Illinois",235
437,US,Chicago,Home2 Suites by Hilton Chicago River North,"110 West Huron St, Chicago, Illinois",273
438,US,Chicago,Hyatt Place Chicago – Medical / University District,"1835 W Harrison St, Chicago, Illinois",215
439,US,Chicago,Magnuson Hotel Bourbonnais,"60 Ken Hayes Dr, Bourbonnais, Illinois",258
440,US,Chicago,Inn at Lincoln Park,"601 W Diversey Pkwy, Chicago, Illinois",261
441,US,Chicago,Chicago Guest House,"3715 N Lakewood Ave, Chicago, Illinois",288
442,US,Chicago,Motel 6 Naperville,"1585 Naperville Wheaton Rd, Naperville, DuPage County, Illinois",246
443,US,Chicago,Red Roof Inn Chicago - Alsip,"12340 S Cicero Ave, Alsip, Illinois",37
444,US,Chicago,"Sable at Navy Pier Chicago, Curio Collection by Hilton","900 E Grand Ave, Chicago, Illinois",242
445,US,Chicago,O'Hare Inn & Suites,"4101 Mannheim Rd, Schiller Park, Illinois",240
446,US,Chicago,Holiday Inn Chicago – Midway Airport S,"7353 South Cicero Avenue, Chicago, Illinois",252
447,US,Chicago,Baymont Inn & Suites by Wyndham Mundelein near Vernon Hills,"517 E Il Route 83, Mundelein, Lake County, Illinois",337
448,US,Chicago,"Margarita European Inn, an Ascend Hotel Collection Member","1566 Oak Avenue, Evanston, Illinois",199
449,US,Chicago,Red Carpet Inn N. Chicago,"3207 Buckley Rd, North Chicago, Lake County, Illinois",117
450,US,Chicago,Lake Country Inn,"18 W Merchant St, New Buffalo, Berrien County, Michigan",226
451,US,Chicago,Hampton Inn Litchfield,"11 Thunderbird Circle, Litchfield, Illinois",528
452,US,Chicago,Hilton Garden Inn Chicago McCormick Place,"123 East Cermak, Chicago, Illinois",224
453,US,Chicago,Sheraton Lisle Naperville Hotel,"3000 Warrenville Rd, Lisle, DuPage County, Illinois",215
454,US,Chicago,Four Points by Sheraton Chicago Westchester/Oak Brook,"2222 Enterprise Dr, Westchester, Illinois",27
455,US,Chicago,Moxy Chicago Downtown,"530 N La Salle Dr, Chicago, Illinois",198
456,US,Chicago,WoodSpring Suites Chicago Romeoville,"1093 Windham Pkwy, Romeoville, Illinois",32
457,US,Chicago,Comfort Inn Matteson - Chicago,"5210 Southwick Dr, Matteson, Illinois",33
458,US,Chicago,The Chicago Hotel Collection Millennium Park,"55 E Washington St, Chicago, Illinois",336
459,US,Chicago,"Holiday Inn & Suites Bolingbrook, an IHG Hotel","205 Remington Blvd., Bolingbrook, DuPage County, Illinois",199
460,US,Chicago,Rodeway Inn Chicago-Evanston,"6155 N Jersey Ave, Chicago, Illinois",24
461,US,Chicago,Extended Stay America - Chicago - Hanover Park,"1075 E Lake St, Hanover Park, Illinois",44
462,US,Chicago,Roscoe Village Guesthouse,"2104 W Roscoe St, Chicago, Illinois",183
463,US,Chicago,Days Inn & Suites by Wyndham Romeoville,"1280 W Normantown Rd, Romeoville, Illinois",201
464,US,Chicago,Lang House Chicago,"7421 N Sheridan Rd, Chicago, Illinois",256
465,US,Chicago,WoodSpring Suites Chicago Tinley Park,"18636 W Creek Dr, Tinley Park, Illinois",40
466,US,Chicago,Motel 6 Chicago Northwest- Rolling Meadows,"1800 Winnetka Cir, Rolling Meadows, Illinois",50
467,US,Chicago,The Chicago Hotel Collection Wrigleyville,"3475 N Clark St, Chicago, Illinois",105
468,US,Chicago,Found Hotel Chicago River North,"613 N Wells St, Chicago, Illinois",229
469,US,Chicago,Super 8 by Wyndham Monee,"5825 W Monee Manhattan Rd, Monee, Illinois",201
470,US,Chicago,Chinatown Hotel,"214 W 22nd Pl, Chicago, Illinois",225
471,US,Chicago,Comfort Inn O'Hare,"2175 E Touhy Ave, Des Plaines, Illinois",474
472,US,Chicago,"Holiday Inn Express & Suites Chicago O'Hare Airport, an IHG Hotel","3001 South Mannheim Road, Des Plaines, Illinois",26
473,US,Chicago,Hilton Garden Inn Chicago Central Loop,"245 S. Franklin St., Chicago, Illinois",38
474,US,Chicago,The Glen Club,"2901 W Lake Ave, Glenview, Illinois",171
475,US,Chicago,"Holiday Inn Express Chicago NW-Vernon Hills, an IHG Hotel","975 North Lakeview Parkway, Vernon Hills, Lake County, Illinois",34
476,US,Chicago,Home2 Suites by Hilton Chicago McCormick Place,"123 East Cermak, Chicago, Illinois",163
477,US,Chicago,Comfort Inn,"2075 Barrington Rd, Hoffman Estates, Illinois",186
478,US,Chicago,Hyatt Place Chicago/Wicker Park,"1551 W North Ave, Chicago, Illinois",195
479,US,Chicago,Sleep Inn at Great Lakes Naval Base,"3250 Bittersweet Ave, Lake Bluff, Lake County, Illinois",164
480,US,Chicago,SpringHill Suites by Marriott Chicago Chinatown,"2357 S Wentworth Ave, Chicago, Illinois",24
481,US,Chicago,Sleep Inn Midway Airport,"6650 S Cicero Ave, Bedford Park, Illinois",241
482,US,Chicago,Homewood Suites by Hilton Aurora Naperville,"4320 Meridian Pkwy, Aurora, Illinois",191
