Index,Country,City,Hotel,Address,Popularity
560,US,Chicago,The Polo Inn Bridgeport U.S.A.,"3322 S Morgan St, Chicago, Illinois",87
561,US,Chicago,Comfort Suites Elgin,"2480 Bushwood Dr, Elgin, Illinois",124
562,US,Chicago,Longman & Eagle,"2657 N Kedzie Ave, Chicago, Illinois",92
563,US,Chicago,Lincoln Park Guest House,"2319 N Halsted St, Chicago, Illinois",26
564,US,Chicago,Howard Johnson by Wyndham Manteno,"157 Cypress Dr, Manteno, Illinois",149
565,US,Chicago,Sleep Inn Tinley Park I-80 Near Amphitheatre-Convention Center,"18420 Spring Creek Dr, Tinley Park, Illinois",122
566,US,Chicago,Hampton Inn & Suites Kalamazoo-Oshtemo,"5059 South 9th Street, Kalamazoo, Kalamazoo County, Michigan",532
567,US,Chicago,Pine Country RV & Camping Resort,"5710 Shattuck Rd, Belvidere, Illinois",174
568,US,Chicago,Jaslin Hotel,"261 W Cermak Rd, Chicago, Illinois",145
569,US,Chicago,Woodspring Suites Carol Stream - Chicago,"1160 N Gary Ave, Carol Stream, DuPage County, Illinois",21
570,US,Chicago,Manilow Suites At North Harbor Tower,"175 N Harbor Dr, Chicago, Illinois",72
571,US,Chicago,Ruby Room,"1743 W Division St # 45, Chicago, Illinois",137
572,US,Chicago,Copperstone Inn,"6702 Yale Bridge Rd, Rockton, Illinois",117
573,US,Chicago,Comfort Suites Near I-80 And I-94,"2235 West 173rd St, Lansing, Illinois",88
574,US,Chicago,Benedictine Bed and Breakfast,"3111 S Aberdeen St, Chicago, Illinois",32
575,US,Chicago,Econo Lodge,"820 W 79th St, Willowbrook, DuPage County, Illinois",82
576,US,Chicago,Rodeway Inn Lyons,"8640 Ogden Ave, Lyons, Illinois",90
577,US,Chicago,Fairfield Inn & Suites Joliet North/Plainfield,"3239 Norman Ave, Joliet, Illinois",85
578,US,Chicago,The Dunes Resort,"333 Blue Star Hwy, Douglas, Allegan County, Michigan",90
579,US,Chicago,The Hotel at Midtown,"2444 N Elston Ave, Chicago, Illinois",52
580,US,Chicago,Manilow Suites at One West Superior,"1 W Superior St, Chicago, Illinois",19
581,US,Chicago,Harrison House Bed & Breakfast,"26 North Eagle Street, Naperville, DuPage County, Illinois",96
582,US,Chicago,The Royal Sonesta Chicago Downtown,"71 E Wacker Drive, Chicago, Illinois",153
583,US,Chicago,The Forester a Hyatt Place Hotel,"200 N Field Drive, Lake Forest, Lake County, Illinois",56
584,US,Chicago,Wheeler Mansion,"2020 S Calumet Ave, Chicago, Illinois",135
585,US,Chicago,"voco Chicago Downtown, an IHG Hotel","350 W. Wolf Point Plaza, Chicago, Illinois",5
586,US,Chicago,Leisure Lake Resort,"21900 SW Frontage Rd, Joliet, Illinois",45
587,US,Chicago,Hampton Inn Macomb,"1639 E Jackson St, Macomb, Illinois",498
588,US,Chicago,"Country Inn & Suites by Radisson, Elgin, IL","2270 Point Blvd, Elgin, Illinois",444
589,US,Chicago,MainStay Suites South,"135 S Larkin Ave, Joliet, Illinois",63
590,US,Chicago,Fuller's Resort & Campground,"1622 E Clear Lake Rd, Buchanan, Berrien County, Michigan",67
591,US,Chicago,Baymont by Wyndham Effingham,"1811 W Fayette Ave, Effingham, Illinois",474
592,US,Chicago,Clarion Pointe,"206 McFall Rd, Mattoon, Illinois",486
593,US,Chicago,The Buckingham Hotel,"425 S Financial Pl, Chicago, Illinois",37
594,US,Chicago,Sonder Greektown,"314 S Halsted St, Chicago, Illinois",12
595,US,Chicago,Best Western Pontiac Inn,"1821 W Reynolds St, Pontiac, Illinois",280
596,US,Chicago,Comfort Inn North,"3235 Norman Ave, Joliet, Illinois",97
597,US,Chicago,Sonder Jewelers Row,"19 S Wabash Ave, Chicago, Illinois",43
598,US,Chicago,City Scene Bed and Breakfast,"2101 N Clifton Ave, Chicago, Illinois",16
599,US,Chicago,Walton Residences,"70 E Walton St, Chicago, Illinois",14
600,US,Chicago,Fairfield Inn by Marriott Port Huron,"1635 Yeager Street, Port Huron, Michigan",267
601,US,Chicago,Manilow Suites at The Grand Plaza,"545 N Dearborn St, Chicago, Illinois",28
602,US,Chicago,The Amber Inn,"3901 S Michigan Ave, Chicago, Illinois",82
603,US,Chicago,Bullfrog Lake Campground,"9600 Wolf Road, Willow Springs, Illinois",14
604,US,Chicago,Manilow Suites at Columbus Plaza,"233 E Wacker Dr, Chicago, Illinois",4
605,US,Chicago,The Leavitt Street Inn & Tavern,"2345 N Leavitt St, Chicago, Illinois",6
606,US,Chicago,Clarion Hotel & Convention Center Joliet,"411 S Larkin Ave, Joliet, Illinois",146
607,US,Chicago,Quality Inn Bolingbrook I-55,"175 Remington Blvd, Bolingbrook, DuPage County, Illinois",86
608,US,Chicago,WoodSpring Suites Chicago Addison,"991 W Lake St, Addison, DuPage County, Illinois",12
609,US,Chicago,Bella Vita Spa + Suites,"119 Butler St, Saugatuck, Allegan County, Michigan",151
610,US,Chicago,Ramada by Wyndham Glendale Heights/Lombard,"780 E North Ave, Glendale Heights, DuPage County, Illinois",143
611,US,Chicago,Comfort Inn & Suites,"1133 N 7th St, Rochelle, Illinois",122
612,US,Chicago,House 5863 Bed & Breakfast,"5863 N Glenwood Ave, Chicago, Illinois",68
613,US,Chicago,Manilow Suites at Presidential Towers,"605 W Madison St, Chicago, Illinois",12
614,US,Chicago,Home2 Suites by Hilton Joliet Plainfield,"4095 Hennepin Drive, Joliet, Illinois",237
615,US,Chicago,Baumhart Lodging at Loyola University Chicago,"26 E Pearson St, Chicago, Illinois",8
616,US,Chicago,Corporate Suites Network at Presidential Towers,"555 W Madison St, Chicago, Illinois",27
617,US,Chicago,Oakwood Apartments,"77 W Huron St, Chicago, Illinois",14
618,US,Chicago,The Penthouse at Grand Plaza,"540 N State St, Chicago, Illinois",24
619,US,Chicago,Travelodge by Wyndham Lansing IL,"17301 Oak Ave, Lansing, Illinois",85
620,US,Chicago,"Candlewood Suites Aurora-Naperville, an IHG Hotel","2625 W Sullivan Rd, Aurora, Illinois",133
621,US,Chicago,"Country Inn & Suites by Radisson, Crystal Lake, IL","600 Tracy Trl, Crystal Lake, Illinois",356
622,US,Chicago,Aloft Bolingbrook,"500 North Janes Avenue, Bolingbrook, DuPage County, Illinois",397
623,US,Chicago,Four Points by Sheraton Buffalo Grove,"900 West Lake Cook Road, Buffalo Grove, Lake County, Illinois",56
624,US,Chicago,Days Inn by Wyndham Calumet Park,"12800 S Ashland Ave, Calumet Park, Illinois",70
625,US,Chicago,Ravinia Guest House,"264 Oakland Dr, Highland Park, Lake County, Illinois",17
626,US,Chicago,The Hamlin House Bed & Breakfast,"5528 S Woodlawn Ave, Chicago, Illinois",3
