Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
48,CA,Toronto,Homewood Suites by Hilton Toronto-Mississauga,"6430 Edwards Boulevard, Mississauga, Ontario, Canada",924,43.63647,-79.68892
49,CA,Toronto,The Omni King Edward Hotel,"37 King Street East, Toronto, Ontario, Canada",4524,43.64927,-79.37597
50,CA,Toronto,Delta Hotels by Marriott Toronto Mississauga,"3670 Hurontario St, Mississauga, Ontario, Canada",793,43.59224,-79.63433
51,CA,Toronto,Hampton Inn by Hilton Brampton Toronto,"8710 The Gore Rd, Brampton, Ontario, Canada",684,43.76588,-79.65882
52,CA,Toronto,Park Inn by Radisson Toronto-Markham,"555 Cochrane Drive, Markham, Ontario, Canada",846,43.84378,-79.36694
53,CA,Toronto,SPRINGHILL SUITES TORONTO VAUGHAN,"612 Applewood Cres, Vaughan, Ontario, Canada",563,43.79935,-79.53954
54,CA,Toronto,Novotel Toronto Vaughan Centre,"200 Bass Pro Mills Dr, Vaughan, Ontario, Canada",613,43.8212,-79.53832
55,CA,Toronto,Hilton Garden Inn Toronto / Burlington,"985 Syscon Road, Burlington, Ontario, Canada",643,43.39308,-79.75735
56,CA,Toronto,Fairfield Inn & Suites Toronto Airport,"3299 Caroga Dr, Mississauga, Ontario, Canada",674,43.68952,-79.6071
57,CA,Toronto,Sheraton Parkway Toronto North Hotel & Suites,"600 Highway 7, Richmond Hill, Ontario, Canada",794,43.84572,-79.38085
58,CA,Toronto,Best Western Parkway Hotel Toronto North,"600 Highway 7 E, Richmond Hill, Ontario, Canada",557,43.84572,-79.38085
59,CA,Toronto,Homewood Suites by Hilton Toronto-Oakville,"2095 Winston Park Drive, Oakville, Ontario, Canada",537,43.51192,-79.66938
60,CA,Toronto,Hilton Garden Inn Toronto / Markham,"300 Commerce Valley Dr. East, Markham, Ontario, Canada",874,43.84461,-79.37851
61,CA,Toronto,The Drake Hotel,"1150 Queen St W, Toronto, Ontario, Canada",778,43.64329,-79.42463
62,CA,Toronto,Hilton Garden Inn Toronto/Ajax,"500 Beck Cres, Ajax, Ontario, Canada",730,43.8573,-79.01033
63,CA,Toronto,Toronto Airport Marriott Hotel,"901 Dixon Road, Toronto, Ontario, Canada",1002,43.68589,-79.59384
64,CA,Toronto,Hilton Garden Inn Toronto / Brampton,"2648 Steeles Ave E, Brampton, Ontario, Canada",593,43.72275,-79.67267
65,CA,Toronto,Super 8 by Wyndham Ajax/Toronto ON,"210 Westney Rd S, Ajax, Ontario, Canada",505,43.84265,-79.03671
66,CA,Toronto,Old Mill Toronto Hotel,"9 Old Mill Rd, Toronto, Ontario, Canada",1078,44.89912,-76.02258
67,CA,Toronto,Hotel Victoria,"56 Yonge St, Toronto, Ontario, Canada",1295,43.64814,-79.37783
68,CA,Toronto,Hilton Garden Inn Toronto/Oakville,"2774 South Sheridan Way, Oakville, Ontario, Canada",673,43.50353,-79.66925
69,CA,Toronto,"Country Inn & Suites by Radisson, Toronto Mississauga, ON","7040 Edwards Boulevard, Mississauga, Ontario, Canada",480,43.64905,-79.705
70,CA,Toronto,"Staybridge Suites Toronto - Vaughan South , an IHG hotel","3600 Steeles Ave W, Vaughan, Ontario, Canada",573,43.77258,-79.53897
71,CA,Toronto,Best Western Plus Travel Hotel Toronto Airport,"5503 Eglinton Ave W, Toronto, Ontario, Canada",1479,43.70302,-79.41597
72,CA,Toronto,Days Inn by Wyndham Toronto West Mississauga,"4635 Tomken Rd, Mississauga, Ontario, Canada",571,43.62684,-79.62912
73,CA,Toronto,Town Inn Suites,"620 Church St, Toronto, Ontario, Canada",1069,43.66907,-79.38272
74,CA,Toronto,"Crowne Plaza Toronto Airport, an IHG Hotel","33 Carlson Crt, Toronto, Ontario, Canada",1436,43.69009,-79.58375
75,CA,Toronto,Gladstone House,"1214 Queen St W, Toronto, Ontario, Canada",1057,43.64279,-79.42705
76,CA,Toronto,Hilton Garden Inn Toronto Airport,"3311 Caroga Dr, Mississauga, Ontario, Canada",1433,43.68984,-79.607
77,CA,Toronto,Homewood Suites by Hilton Toronto Airport Corporate Centre,"5515 Eglinton Ave W, Toronto, Ontario, Canada",1250,43.70302,-79.41597
78,CA,Toronto,Hampton Inn by Hilton Toronto Airport Corporate Centre,"5515 Eglinton Avenue West, Toronto, Ontario, Canada",1286,43.70302,-79.41597
79,CA,Toronto,Executive Hotel Cosmopolitan,"8 Colborne St, Toronto, Ontario, Canada",1330,43.64875,-79.37702
80,CA,Toronto,Toronto Don Valley Hotel & Suites,"175 Wynford Dr, Toronto, Ontario, Canada",1147,43.72499,-79.32752
