Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
48,CA,Montreal,Hotel Chrome Montreal Centre-Ville,"215 Rene-Levesque Blvd. East, Montreal, Quebec, Canada",1031,45.51096,-73.56017
49,CA,Montreal,Hilton Montreal/Laval,"2225, Autoroute Des Laurentides, Laval, Quebec, Canada",724,45.57004,-73.74295
50,CA,Montreal,Travelodge by Wyndham Montreal Centre,"50 Boul Rene Levesque West, Montreal, Quebec, Canada",1714,45.50924,-73.56104
51,CA,Montreal,Hotel Le St-James,"355 St-Jacques, Montreal, Quebec, Canada",604,45.50268,-73.55958
52,CA,Montreal,Epik Hotel Montreal,"171 rue Saint-Paul Ouest, Montreal, Quebec, Canada",486,45.50311,-73.55523
53,CA,Montreal,Hotel Manoir Sherbrooke,"157 East Sherbrooke Street, Montreal, Quebec, Canada",573,45.51429,-73.56899
54,CA,Montreal,Alt Hotel Montreal,"120, Rue Peel, Montreal, Quebec, Canada",630,45.49337,-73.55802
55,CA,Montreal,"Holiday Inn Montreal Centreville Downtown, an IHG Hotel","999 Rue Saint-Urbain, Montreal, Quebec, Canada",655,45.50668,-73.55988
56,CA,Montreal,SENS Hotel,"1808 Sherbrooke St W, Montreal, Quebec, Canada",810,44.28804,-78.37869
57,CA,Montreal,L'Appartement Hotel,"455 Rue Sherbrooke Ouest, Montreal, Quebec, Canada",941,45.50701,-73.5725
58,CA,Montreal,Hotel Monville,"1041 de Bleury street, Montreal, Quebec, Canada",739,45.50432,-73.56263
59,CA,Montreal,Parc Suites Hotel,"3463 Avenue du Parc, Montreal, Quebec, Canada",585,45.50919,-73.57254
60,CA,Montreal,Hilton Garden Inn Montreal Airport,"7880 Cote-De-Liesse, Montreal, Quebec, Canada",1051,45.47781,-73.70179
61,CA,Montreal,Renaissance Montreal Downtown Hotel,"1250 Boulevard Robert-Bourassa, Montreal, Quebec, Canada",528,45.50278,-73.56933
62,CA,Montreal,Hotel de l'ITHQ,"3535, St-Denis Street, Montreal, Quebec, Canada",742,45.51776,-73.56876
63,CA,Montreal,Chateau de l'Argoat,"524 Rue Sherbrooke Est, Montreal, Quebec, Canada",580,45.51844,-73.56648
64,CA,Montreal,Hotel Les Suites Labelle,"1205 rue Labelle, Montreal, Quebec, Canada",1062,45.51454,-73.55799
65,CA,Montreal,Hotel Saint-Laurent Montreal,"191 Rene-Levesque Blvd East, Montreal, Quebec, Canada",601,45.51069,-73.56088
66,CA,Montreal,Hotel Dauphin Montreal - Longueuil,"1055 rue Saint-Laurent West, Longueuil, Quebec, Canada",347,45.52442,-73.5144
67,CA,Montreal,Best Western Laval-Montreal,"3655 Des Laurentides E, Laval, Quebec, Canada",505,45.58193,-73.75859
68,CA,Montreal,Hampton Inn & Suites by Hilton Laval,"1961 Boulevard Cure-Labelle, Laval, Quebec, Canada",753,45.55512,-73.76396
69,CA,Montreal,A la Carte Bed & Breakfast,"5477 10th Ave., Montreal, Quebec, Canada",452,55.2461,-127.56066
70,CA,Montreal,Le Mount Stephen,"1440 Drummond Street, Montreal, Quebec, Canada",439,45.4991,-73.57578
71,CA,Montreal,Hotel Espresso Montreal Centre-Ville/Downtown,"1005 Guy Street, Montreal, Quebec, Canada",891,45.49341,-73.57344
72,CA,Montreal,Chateau Versailles,"1659 Sherbrooke Street West, Montreal, Quebec, Canada",704,45.5272,-73.56422
73,CA,Montreal,Hotel De Paris,"901 Sherbrooke East, Montreal, Quebec, Canada",846,45.5201,-73.56629
74,CA,Montreal,DoubleTree by Hilton Pointe Claire Montreal Airport West,"6700 Transcanada Highway, Pointe Claire, Quebec, Canada",415,45.45665,-73.84025
75,CA,Montreal,Auberge de la Place Royale,"115 rue de la Commune West, Montreal, Quebec, Canada",407,45.50671,-73.55265
76,CA,Montreal,Residence Inn by Marriott Montreal Downtown,"2045 Rue Peel, Montreal, Quebec, Canada",702,45.50145,-73.57558
77,CA,Montreal,Holiday Inn & Suites Montreal Airport,"10888 Cote de Liesse, Montreal, Quebec, Canada",768,45.46151,-73.72345
78,CA,Montreal,Hotel Chez Swann,"1444 rue Drummond, Montreal, Quebec, Canada",554,45.49924,-73.57607
79,CA,Montreal,"Crowne Plaza Montreal Airport, an IHG Hotel","6600 Cote de Liesse, Montreal, Quebec, Canada",656,45.48447,-73.69276
80,CA,Montreal,Le Relais Lyonnais,"1595 rue St Denis, Montreal, Quebec, Canada",453,45.51482,-73.56245
81,CA,Montreal,Radisson Hotel Montreal Airport,"6500 Chemin De La Cote-De-Liesse, Montreal, Quebec, Canada",916,45.486,-73.6908
82,CA,Montreal,Hotel Birks Montreal,"1240 Phillips Square, Montreal, Quebec, Canada",406,45.50392,-73.56844
83,CA,Montreal,Quality Inn & Suites P.E. Trudeau Airport-Montreal,"1010 Herron Road, Dorval, Quebec, Canada",416,45.44738,-73.74795
84,CA,Montreal,DoubleTree by Hilton Montreal,"1255 Jeanne Mance Street, Montreal, Quebec, Canada",673,45.50729,-73.56496
85,CA,Montreal,Auberge Les Bons Matins,"1401 Argyle, Montreal, Quebec, Canada",722,45.49458,-73.57177
86,CA,Montreal,Hotel l'Abri du Voyageur,"9 rue Ste-Catherine Ouest, Montreal, Quebec, Canada",641,45.50974,-73.56415
87,CA,Montreal,Hotel Ruby Foo's,"7655 Decarie Blvd, Montreal, Quebec, Canada",623,45.49651,-73.65539
88,CA,Montreal,Hotel Universel Montreal,"5000 Sherbrooke Est, Montreal, Quebec, Canada",676,45.56558,-73.55317
89,CA,Montreal,Le Terra Nostra,"277 Beatty Streett, Montreal, Quebec, Canada",240,45.45078,-73.56885
90,CA,Montreal,Hotel 2170 Lincoln Downtown Montreal,"2170 Lincoln Avenue, Montreal, Quebec, Canada",678,45.49174,-73.58511
91,CA,Montreal,Hotel Brossard,"7365 Marie-Victorin Blvd, Brossard, Quebec, Canada",587,45.46245,-73.49164
92,CA,Montreal,Best Western Plus Hotel Montreal,"161 Rue Sainte-Catherine E, Montreal, Quebec, Canada",564,45.51154,-73.56267
93,CA,Montreal,Chateau Vaudreuil Hotel & Suites,"21700 Route Transcanadienne, Vaudreuil-Dorion, Quebec, Canada",580,45.41704,-74.01021
94,CA,Montreal,Lofts du Vieux-Port,"97 de la Commune Est, Montreal, Quebec, Canada",221,45.50646,-73.55279
95,CA,Montreal,Angelica Blue Bed & Breakfast,"1213 Sainte Elizabeth, Montreal, Quebec, Canada",200,45.51173,-73.56047
96,CA,Montreal,B&B Le Cartier,"1219 Rue Cartier, Montreal, Quebec, Canada",190,45.52269,-73.55014
97,CA,Montreal,Gingerbread Manor Bed & Breakfast,"3445 Avenue Laval, Montreal, Quebec, Canada",369,45.51574,-73.56916
98,CA,Montreal,Le Roberval,"505 Rene Levesque East, Montreal, Quebec, Canada",649,45.514,-73.55762
99,CA,Montreal,DoubleTree by Hilton Montreal Airport,"705 Avenue Michel-Jasmin, Dorval, Quebec, Canada",272,45.44982,-73.7403
100,CA,Montreal,M Montreal,"1245 rue St-Andre, Montreal, Quebec, Canada",503,45.51598,-73.55698
101,CA,Montreal,Days Inn by Wyndham Montreal Airport Conference Centre,"4545 Boul. Cote-Vertu Ouest, Montreal, Quebec, Canada",901,45.48783,-73.71768
102,CA,Montreal,Novotel Montreal Aeroport,"2599 Boulevard Alfred-Nobel, Montreal, Quebec, Canada",683,45.48796,-73.76224
103,CA,Montreal,La Loggia Art & Breakfast,"1637 Amherst, Montreal, Quebec, Canada",355,45.5211,-73.56363
104,CA,Montreal,Courtyard by Marriott Montreal Airport,"7000 Place Robert-Joncas, Montreal, Quebec, Canada",408,45.4931,-73.70043
105,CA,Montreal,Comfort Inn Montreal Aeroport,"700 St. Jean Boul, Pointe Claire, Quebec, Canada",99,45.46128,-73.82362
106,CA,Montreal,Repos & Manna B & B,"2140 rue Quesnel, Montreal, Quebec, Canada",207,45.48765,-73.57453
107,CA,Montreal,Maison Des Jardins,"1365 Logan Street, Montreal, Quebec, Canada",169,45.52153,-73.5577
108,CA,Montreal,Four Seasons Hotel Montreal,"1440, Rue De La Montagne, Montreal, Quebec, Canada",225,45.49835,-73.57667
109,CA,Montreal,Best Western Hotel Brossard,"7746 Taschereau Blvd, Brossard, Quebec, Canada",451,45.45403,-73.46692
110,CA,Montreal,Auberge Le Pomerol,"819 Blvd de Maisonneuve East, Montreal, Quebec, Canada",639,45.51648,-73.56029
111,CA,Montreal,Le St-Martin Hotel & Suites,"1400 Maurice Gauvin St, Laval, Quebec, Canada",504,45.56563,-73.73498
112,CA,Montreal,Auberge de La Fontaine,"1301 Rachel Street East, Montreal, Quebec, Canada",461,45.52765,-73.57262
113,CA,Montreal,Auberge du Lac Morency,"42, rue de la Chaumine, Saint Hippolyte, Quebec, Canada",497,45.92524,-74.0394
114,CA,Montreal,Manoir Saint-Sauveur,"246 chemin du Lac Millette, Saint Sauveur des Monts, Quebec, Canada",1137,45.89029,-74.15334
115,CA,Montreal,Travelodge Hotel by Wyndham Montreal Airport,"7300 Chemin Cote-de-Liesse, Montreal, Quebec, Canada",528,45.47965,-73.69932
116,CA,Montreal,Embassy Suites by Hilton Montreal Airport,"6300 Transcanada Highway, Pointe Claire, Quebec, Canada",217,45.45665,-73.84025
117,CA,Montreal,Auberge Bonsecours,"353, St-Paul St. East, Montreal, Quebec, Canada",104,45.50939,-73.55181
118,CA,Montreal,Hotel Champ-de-Mars,"756 Berri, Montreal, Quebec, Canada",331,45.51168,-73.5529
119,CA,Montreal,Courtyard by Marriott Kingston Highway 401 / Division Street,"103 Dalton Ave, Kingston, Ontario, Canada",693,44.26644,-76.50391
120,CA,Montreal,Sheraton Laval Hotel,"2440 Autoroute Des Laurentides, Laval, Quebec, Canada",452,45.57196,-73.74884
121,CA,Montreal,"Holiday Inn Express & Suites 1000 Islands - Gananoque, an IHG Hotel","777 King St E, Gananoque, Ontario, Canada",606,44.33748,-76.14678
122,CA,Montreal,La Maison Pierre du Calvet,"405 Rue Bonsecours, Montreal, Quebec, Canada",161,45.51008,-73.55173
123,CA,Montreal,Boulanger Bassin,"4293 Rue de Brebeuf, Montreal, Quebec, Canada",105,45.52793,-73.57473
124,CA,Montreal,"Holiday Inn Laval - Montreal, an IHG Hotel","2900 Boul Le Carrefour, Laval, Quebec, Canada",264,45.56918,-73.74635
125,CA,Montreal,AC Hotel Montreal Downtown,"250 Rene-Levesque Boulevard West, Montreal, Quebec, Canada",321,45.51139,-73.55922
126,CA,Montreal,La Tour Belvedere,"2175 Boulevard Maisonneuve Ouest, Montreal, Quebec, Canada",564,45.49139,-73.58459
127,CA,Montreal,Le Gite Dezery,"3545 Rue Dezery, Montreal, Quebec, Canada",141,45.54477,-73.55939
128,CA,Montreal,Sir Montcalm,"1453-1455 rue Montcalm, Montreal, Quebec, Canada",100,45.51887,-73.5571
129,CA,Montreal,Maison Saint-Vincent,"443 Rue Saint-Vincent, Montreal, Quebec, Canada",88,45.50748,-73.55391
130,CA,Montreal,Hotel Kutuma,"3708 St. Denis Street, Montreal, Quebec, Canada",397,45.51842,-73.57132
131,CA,Montreal,Ramada Plaza by Wyndham Montreal,"6445 Boulevard Decarie, Montreal, Quebec, Canada",485,45.49103,-73.64476
132,CA,Montreal,Alt Hotel Quartier DIX30,"6500, Boulevard De Rome, Brossard, Quebec, Canada",446,45.44063,-73.43958
133,CA,Montreal,D&D's B&B,"703 Av Laporte, Montreal, Quebec, Canada",87,45.47964,-73.58433
134,CA,Montreal,Accueil Chez Francois B&B,"4031 Papineau, Montreal, Quebec, Canada",386,45.52988,-73.56762
