Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
322,US,Chicago,"Holiday Inn Express & Suites Chicago-Libertyville, an IHG Hotel","77 West Buckley Road, Libertyville, Lake County, Illinois",146,42.30523,-87.95729
323,US,Chicago,TownePlace Suites Chicago Schaumburg,"700 National Pkwy, Schaumburg, Illinois",111,42.04158,-88.05107
324,US,Chicago,Best Western Plus Hyde Park Chicago Hotel,"4900 S Lakeshore Dr, Chicago, Illinois",532,41.8058,-87.58593
325,US,Chicago,Courtyard by Marriott Chicago Deerfield,"800 Lake Cook Rd, Deerfield, Lake County, Illinois",95,42.15377,-87.84743
326,US,Chicago,"Holiday Inn Chicago NW Crystal Lake Conv Ctr, an IHG Hotel","800 South Illinois Route 31, Crystal Lake, Illinois",362,42.22026,-88.28492
327,US,Chicago,Chicago Marriott Midway,"6520 S Cicero Ave, Chicago, Illinois",483,41.77449,-87.74297
328,US,Chicago,Hampton Inn & Suites Bridgeview Chicago,"7010 S Harlem Ave, Bridgeview, Illinois",117,41.76481,-87.80069
329,US,Chicago,Travelodge by Wyndham Matteson,"950 Lake Superior Dr, Matteson, Illinois",525,41.50756,-87.73967
330,US,Chicago,Fairfield Inn & Suites Chicago Naperville/Aurora,"1847 W Diehl Rd, Naperville, DuPage County, Illinois",105,41.80231,-88.20758
331,US,Chicago,Hilton Garden Inn Schaumburg,"1191 Woodfield Road, Schaumburg, Illinois",1473,42.0428,-88.05173
332,US,Chicago,Extended Stay America Chicago - Hillside,"4575 Frontage Rd, Hillside, Illinois",110,41.87351,-87.89552
333,US,Chicago,Le Meridien Essex Chicago,"800 South Michigan Avenue, Chicago, Illinois",417,41.87179,-87.62438
334,US,Chicago,Extended Stay America - Chicago - Midway,"7524 S State Rd, Bedford Park, Illinois",144,41.75763,-87.74581
335,US,Chicago,Extended Stay America - Chicago - Skokie,"5211 Old Orchard Rd, Skokie, Illinois",154,42.06101,-87.75702
336,US,Chicago,Days Inn & Suites by Wyndham Arlington Heights,"1415 W Dundee Rd, Arlington Heights, Illinois",454,42.13831,-88.00044
337,US,Chicago,Super 8 by Wyndham Chicago IL,"7300 N Sheridan Rd, Chicago, Illinois",472,42.01405,-87.66457
