Index,Country,City,Hotel,Address,Popularity
190,US,Detroit,Quality Inn,"2537 Rochester Ct, Troy, Michigan",234
191,US,Detroit,The Met Troy,"5500 Crooks Rd, Troy, Michigan",248
192,US,Detroit,Holiday Inn Express & Suites Detroit-Novi,"39675 W 12 Mile Rd, Novi, Michigan",158
193,US,Detroit,Wingate By Wyndham Roseville / Detroit,"31900 Little Mack Ave, Roseville, Michigan",124
194,US,Detroit,Wyndham Garden Southgate,"17201 Northline Rd, Southgate, Michigan",206
195,US,Detroit,Home2 Suites by Hilton Taylor Detroit,"14300 Pardee Rd, Taylor, Michigan",45
196,US,Detroit,Sonder The Randolph,"139 Cadillac Square, Detroit, Michigan",101
197,US,Detroit,Hotel Royal Oak,"811 E Eleven Mile Rd, Royal Oak, Michigan",185
198,US,Detroit,Fairfield Inn & Suites Detroit Canton,"5760 N Haggerty Rd, Canton, Michigan",55
199,US,Detroit,TownePlace Suites by Marriott Detroit Troy,"325 Stephenson Highway, Troy, Michigan",33
200,US,Detroit,Red Roof Inn & Suites Detroit - Melvindale / Dearborn,"17600 DIX Rd, Melvindale, Michigan",59
201,US,Detroit,Courtyard by Marriott Detroit Farmington,"33043 Hamilton Ct, Farmington Hills, Michigan",38
202,US,Detroit,Extended Stay America - Detroit - Metropolitan Airport,"30325 Flynn Dr, Romulus, Michigan",48
203,US,Detroit,Extended Stay America - Detroit - Auburn Hills - University Drive,"3315 University Dr, Auburn Hills, Michigan",61
204,US,Detroit,Comfort Inn Downtown Detroit,"1999 E Jefferson Ave, Detroit, Michigan",192
205,US,Detroit,Mint House Detroit - Grand Circus Park,"114 W Adams Ave, Detroit, Michigan",25
206,US,Detroit,"Holiday Inn Express & Suites Belleville (Airport Area), an IHG Hotel","46194 N Interstate 94 Service Dr, Belleville, Michigan",177
207,US,Detroit,"Holiday Inn Express & Suites Detroit Northwest - Livonia, an IHG Hotel","27451 Schoolcraft Road, Livonia, Michigan",28
208,US,Detroit,"Holiday Inn Express & Suites Southgate - Detroit Area, An IHG Hotel","13333 Heritage Center Dr., Southgate, Michigan",35
209,US,Detroit,"Holiday Inn & Suites Farmington Hills - Detroit NW, an IHG Hotel","33103 Hamilton Ct, Farmington Hills, Michigan",24
210,US,Detroit,"Holiday Inn Express & Suites Auburn Hills, an IHG Hotel","3990 Baldwin Road, Auburn Hills, Michigan",354
211,US,Detroit,Super 8 by Wyndham Sterling Heights/Detroit Area,"34550 Van Dyke Ave, Sterling Heights, Michigan",203
212,US,Detroit,Mint House Detroit - New Center,"2911 W. Grand Blvd, Detroit, Michigan",14
213,US,Detroit,"Extended Stay America - Detroit - Southfield - I-696, MI","26250 American Dr, Southfield, Michigan",44
214,US,Detroit,Holiday Inn Express & Suites Detroit - Dearborn,"6355 Mercury Dr, Dearborn, Michigan",10
215,US,Detroit,Comfort Inn Warren,"7001 Convention Blvd, Warren, Michigan",132
216,US,Detroit,Mint House Detroit - Times Square,"415 Clifford St, Detroit, Michigan",46
217,US,Detroit,"Staybridge Suites Sterling Heights - Detroit, an IHG Hotel","8333 15 Mile Road, Sterling Heights, Michigan",43
218,US,Detroit,The Inn on Ferry Street,"84 E Ferry St, Detroit, Michigan",48
219,US,Detroit,Americas Best Value Inn Livonia Detroit,"28512 Schoolcraft Rd, Livonia, Michigan",42
220,US,Detroit,Motel 6 Detroit N.W. - Farmington Hills,"38300 Grand River Ave, Farmington Hills, Michigan",31
221,US,Detroit,Hyatt Place Chicago / Lombard / Oak Brook,"2340 South Fountain Square Drive, Lombard, DuPage County, Illinois",969
222,US,Detroit,My Place Hotel- Detroit West/Wixom,"48881 Alpha Dr, Wixom, Michigan",38
223,US,Detroit,Tru By Hilton Troy Detroit,"1575 E Maple Rd, Troy, Michigan",26
224,US,Detroit,The Detroit Club,"712 Cass Ave, Detroit, Michigan",28
225,US,Detroit,Comfort Inn & Suites,"6778 South Telegraph Road, Taylor, Michigan",144
226,US,Detroit,Comfort Suites Canton,"5730 N Haggerty Rd, Canton, Michigan",149
227,US,Detroit,Rivertown Inn & Suites Downtown Detroit,"1316 E Jefferson Ave, Detroit, Michigan",176
228,US,Detroit,Hotel Sterling,"109 W Front St, Monroe, Michigan",109
229,US,Detroit,Motel 6 Detroit East - Warren,"8300 Chicago Rd, Warren, Michigan",24
230,US,Detroit,The Kingsley Bloomfield Hills - a Doubletree by Hilton,"39475 Woodward Ave, Bloomfield Hills, Michigan",151
231,US,Detroit,SpringHill Suites by Marriott Detroit Wixom,"49097 Alpha Dr, Wixom, Michigan",11
232,US,Detroit,Quality Inn & Suites,"1225 N Dixie Hwy, Monroe, Michigan",162
233,US,Detroit,"Hotel Indigo Detroit Downtown, an IHG Hotel","1020 Washington Blvd, Detroit, Michigan",43
234,US,Detroit,Hampton Inn & Suites Bloomfield Hills Detroit,"1951 S. Telegraph Rd, Bloomfield Hills, Michigan",12
235,US,Detroit,Super 8 by Wyndham Ottawa Starved Rock,"500 E Etna Rd, Ottawa, Illinois",521
236,US,Detroit,Delta Hotels by Marriott Detroit Novi,"37529 Grand River Avenue, Farmington Hills, Michigan",10
237,US,Detroit,Fairfield Inn & Suites by Marriott Detroit Chesterfield,"45800 Marketplace Blvd, Chesterfield, Michigan",30
238,US,Detroit,Holiday Inn Detroit Northwest - Livonia,"17123 Laurel Park Dr. N, Livonia, Michigan",25
239,US,Detroit,"Holiday Inn Express & Suites Plymouth - Ann Arbor Area, an IHG Hotel","15100 Beck Road, Plymouth, Michigan",62
240,US,Detroit,The Inn at 97 Winder,"97 Winder St, Detroit, Michigan",57
241,US,Detroit,Holiday Inn Express Auburn Hills South,"907 N Opdyke Rd, Auburn Hills, Michigan",42
242,US,Detroit,Comfort Suites Southgate,"18950 Northline Rd, Southgate, Michigan",70
243,US,Detroit,Baymont by Wyndham Monroe,"14774 Laplaisance Rd, Monroe, Michigan",618
