Index,Country,City,Hotel,Address,Popularity
57,CA,Montreal,L'Appartement Hotel,"455 Rue Sherbrooke Ouest, Montreal, Quebec, Canada",941
58,CA,Montreal,Hotel Monville,"1041 de Bleury street, Montreal, Quebec, Canada",739
59,CA,Montreal,Parc Suites Hotel,"3463 Avenue du Parc, Montreal, Quebec, Canada",585
60,CA,Montreal,Hilton Garden Inn Montreal Airport,"7880 Cote-De-Liesse, Montreal, Quebec, Canada",1051
61,CA,Montreal,Renaissance Montreal Downtown Hotel,"1250 Boulevard Robert-Bourassa, Montreal, Quebec, Canada",528
62,CA,Montreal,Hotel de l'ITHQ,"3535, St-Denis Street, Montreal, Quebec, Canada",742
63,CA,Montreal,Chateau de l'Argoat,"524 Rue Sherbrooke Est, Montreal, Quebec, Canada",580
64,CA,Montreal,Hotel Les Suites Labelle,"1205 rue Labelle, Montreal, Quebec, Canada",1062
65,CA,Montreal,Hotel Saint-Laurent Montreal,"191 Rene-Levesque Blvd East, Montreal, Quebec, Canada",601
66,CA,Montreal,Hotel Dauphin Montreal - Longueuil,"1055 rue Saint-Laurent West, Longueuil, Quebec, Canada",347
67,CA,Montreal,Best Western Laval-Montreal,"3655 Des Laurentides E, Laval, Quebec, Canada",505
68,CA,Montreal,Hampton Inn & Suites by Hilton Laval,"1961 Boulevard Cure-Labelle, Laval, Quebec, Canada",753
69,CA,Montreal,A la Carte Bed & Breakfast,"5477 10th Ave., Montreal, Quebec, Canada",452
70,CA,Montreal,Le Mount Stephen,"1440 Drummond Street, Montreal, Quebec, Canada",439
71,CA,Montreal,Hotel Espresso Montreal Centre-Ville/Downtown,"1005 Guy Street, Montreal, Quebec, Canada",891
72,CA,Montreal,Chateau Versailles,"1659 Sherbrooke Street West, Montreal, Quebec, Canada",704
73,CA,Montreal,Hotel De Paris,"901 Sherbrooke East, Montreal, Quebec, Canada",846
74,CA,Montreal,DoubleTree by Hilton Pointe Claire Montreal Airport West,"6700 Transcanada Highway, Pointe Claire, Quebec, Canada",415
75,CA,Montreal,Auberge de la Place Royale,"115 rue de la Commune West, Montreal, Quebec, Canada",407
76,CA,Montreal,Residence Inn by Marriott Montreal Downtown,"2045 Rue Peel, Montreal, Quebec, Canada",702
77,CA,Montreal,Holiday Inn & Suites Montreal Airport,"10888 Cote de Liesse, Montreal, Quebec, Canada",768
78,CA,Montreal,Hotel Chez Swann,"1444 rue Drummond, Montreal, Quebec, Canada",554
79,CA,Montreal,"Crowne Plaza Montreal Airport, an IHG Hotel","6600 Cote de Liesse, Montreal, Quebec, Canada",656
80,CA,Montreal,Le Relais Lyonnais,"1595 rue St Denis, Montreal, Quebec, Canada",453
81,CA,Montreal,Radisson Hotel Montreal Airport,"6500 Chemin De La Cote-De-Liesse, Montreal, Quebec, Canada",916
82,CA,Montreal,Hotel Birks Montreal,"1240 Phillips Square, Montreal, Quebec, Canada",406
83,CA,Montreal,Quality Inn & Suites P.E. Trudeau Airport-Montreal,"1010 Herron Road, Dorval, Quebec, Canada",416
84,CA,Montreal,DoubleTree by Hilton Montreal,"1255 Jeanne Mance Street, Montreal, Quebec, Canada",673
85,CA,Montreal,Auberge Les Bons Matins,"1401 Argyle, Montreal, Quebec, Canada",722
86,CA,Montreal,Hotel l'Abri du Voyageur,"9 rue Ste-Catherine Ouest, Montreal, Quebec, Canada",641
87,CA,Montreal,Hotel Ruby Foo's,"7655 Decarie Blvd, Montreal, Quebec, Canada",623
88,CA,Montreal,Hotel Universel Montreal,"5000 Sherbrooke Est, Montreal, Quebec, Canada",676
89,CA,Montreal,Le Terra Nostra,"277 Beatty Streett, Montreal, Quebec, Canada",240
90,CA,Montreal,Hotel 2170 Lincoln Downtown Montreal,"2170 Lincoln Avenue, Montreal, Quebec, Canada",678
91,CA,Montreal,Hotel Brossard,"7365 Marie-Victorin Blvd, Brossard, Quebec, Canada",587
92,CA,Montreal,Best Western Plus Hotel Montreal,"161 Rue Sainte-Catherine E, Montreal, Quebec, Canada",564
93,CA,Montreal,Chateau Vaudreuil Hotel & Suites,"21700 Route Transcanadienne, Vaudreuil-Dorion, Quebec, Canada",580
94,CA,Montreal,Lofts du Vieux-Port,"97 de la Commune Est, Montreal, Quebec, Canada",221
95,CA,Montreal,Angelica Blue Bed & Breakfast,"1213 Sainte Elizabeth, Montreal, Quebec, Canada",200
96,CA,Montreal,B&B Le Cartier,"1219 Rue Cartier, Montreal, Quebec, Canada",190
97,CA,Montreal,Gingerbread Manor Bed & Breakfast,"3445 Avenue Laval, Montreal, Quebec, Canada",369
98,CA,Montreal,Le Roberval,"505 Rene Levesque East, Montreal, Quebec, Canada",649
99,CA,Montreal,DoubleTree by Hilton Montreal Airport,"705 Avenue Michel-Jasmin, Dorval, Quebec, Canada",272
100,CA,Montreal,M Montreal,"1245 rue St-Andre, Montreal, Quebec, Canada",503
101,CA,Montreal,Days Inn by Wyndham Montreal Airport Conference Centre,"4545 Boul. Cote-Vertu Ouest, Montreal, Quebec, Canada",901
102,CA,Montreal,Novotel Montreal Aeroport,"2599 Boulevard Alfred-Nobel, Montreal, Quebec, Canada",683
103,CA,Montreal,La Loggia Art & Breakfast,"1637 Amherst, Montreal, Quebec, Canada",355
104,CA,Montreal,Courtyard by Marriott Montreal Airport,"7000 Place Robert-Joncas, Montreal, Quebec, Canada",408
105,CA,Montreal,Comfort Inn Montreal Aeroport,"700 St. Jean Boul, Pointe Claire, Quebec, Canada",99
106,CA,Montreal,Repos & Manna B & B,"2140 rue Quesnel, Montreal, Quebec, Canada",207
107,CA,Montreal,Maison Des Jardins,"1365 Logan Street, Montreal, Quebec, Canada",169
108,CA,Montreal,Four Seasons Hotel Montreal,"1440, Rue De La Montagne, Montreal, Quebec, Canada",225
109,CA,Montreal,Best Western Hotel Brossard,"7746 Taschereau Blvd, Brossard, Quebec, Canada",451
110,CA,Montreal,Auberge Le Pomerol,"819 Blvd de Maisonneuve East, Montreal, Quebec, Canada",639
111,CA,Montreal,Le St-Martin Hotel & Suites,"1400 Maurice Gauvin St, Laval, Quebec, Canada",504
112,CA,Montreal,Auberge de La Fontaine,"1301 Rachel Street East, Montreal, Quebec, Canada",461
113,CA,Montreal,Auberge du Lac Morency,"42, rue de la Chaumine, Saint Hippolyte, Quebec, Canada",497
114,CA,Montreal,Manoir Saint-Sauveur,"246 chemin du Lac Millette, Saint Sauveur des Monts, Quebec, Canada",1137
115,CA,Montreal,Travelodge Hotel by Wyndham Montreal Airport,"7300 Chemin Cote-de-Liesse, Montreal, Quebec, Canada",528
116,CA,Montreal,Embassy Suites by Hilton Montreal Airport,"6300 Transcanada Highway, Pointe Claire, Quebec, Canada",217
117,CA,Montreal,Auberge Bonsecours,"353, St-Paul St. East, Montreal, Quebec, Canada",104
118,CA,Montreal,Hotel Champ-de-Mars,"756 Berri, Montreal, Quebec, Canada",331
119,CA,Montreal,Courtyard by Marriott Kingston Highway 401 / Division Street,"103 Dalton Ave, Kingston, Ontario, Canada",693
120,CA,Montreal,Sheraton Laval Hotel,"2440 Autoroute Des Laurentides, Laval, Quebec, Canada",452
121,CA,Montreal,"Holiday Inn Express & Suites 1000 Islands - Gananoque, an IHG Hotel","777 King St E, Gananoque, Ontario, Canada",606
122,CA,Montreal,La Maison Pierre du Calvet,"405 Rue Bonsecours, Montreal, Quebec, Canada",161
123,CA,Montreal,Boulanger Bassin,"4293 Rue de Brebeuf, Montreal, Quebec, Canada",105
124,CA,Montreal,"Holiday Inn Laval - Montreal, an IHG Hotel","2900 Boul Le Carrefour, Laval, Quebec, Canada",264
125,CA,Montreal,AC Hotel Montreal Downtown,"250 Rene-Levesque Boulevard West, Montreal, Quebec, Canada",321
126,CA,Montreal,La Tour Belvedere,"2175 Boulevard Maisonneuve Ouest, Montreal, Quebec, Canada",564
127,CA,Montreal,Le Gite Dezery,"3545 Rue Dezery, Montreal, Quebec, Canada",141
128,CA,Montreal,Sir Montcalm,"1453-1455 rue Montcalm, Montreal, Quebec, Canada",100
129,CA,Montreal,Maison Saint-Vincent,"443 Rue Saint-Vincent, Montreal, Quebec, Canada",88
130,CA,Montreal,Hotel Kutuma,"3708 St. Denis Street, Montreal, Quebec, Canada",397
131,CA,Montreal,Ramada Plaza by Wyndham Montreal,"6445 Boulevard Decarie, Montreal, Quebec, Canada",485
132,CA,Montreal,Alt Hotel Quartier DIX30,"6500, Boulevard De Rome, Brossard, Quebec, Canada",446
133,CA,Montreal,D&D's B&B,"703 Av Laporte, Montreal, Quebec, Canada",87
134,CA,Montreal,Accueil Chez Francois B&B,"4031 Papineau, Montreal, Quebec, Canada",386
135,CA,Montreal,Days Inn by Wyndham Montreal East,"5905 Metropolitan Blvd. East, Montreal, Quebec, Canada",382
136,CA,Montreal,Sonder at Penny Lane,"408 Saint Jacques Street, Montreal, Quebec, Canada",109
137,CA,Montreal,Hotel Mortagne,"1228 Rue Nobel, Boucherville, Quebec, Canada",399
138,CA,Montreal,La Conciergerie,"1019 Saint-Hubert St., Montreal, Quebec, Canada",142
139,CA,Montreal,Samesun Montreal Central,"1586 rue St Hubert, Montreal, Quebec, Canada",390
140,CA,Montreal,Sonder Maisonneuve,"1470 Rue Mackay, Montreal, Quebec, Canada",150
141,CA,Montreal,University Bed & Breakfast Apartments,"623 Prince Arthur Street West, Montreal, Quebec, Canada",199
142,CA,Montreal,Auberge des Gallant Restaurant and SPA,"1171, ch. St-Henri, Sainte-Marthe, Quebec, Canada",310
143,CA,Montreal,Home2 Suites by Hilton Montreal Dorval,"1855 Rte Transcanadienne, Dorval, Quebec, Canada",121
144,CA,Montreal,"Holiday Inn & Suites Montreal Centre-Ville Ouest, an IHG Hotel","1390 Boulevard Rene-Levesque Ouest, Montreal, Quebec, Canada",341
145,CA,Montreal,Gite Ocoin B&B,"1930 due Dufresne, Montreal, Quebec, Canada",151
146,CA,Montreal,A l'Adresse du Centre-Ville,"1673 Saint Christophe Street, Montreal, Quebec, Canada",223
147,CA,Montreal,Residence Inn by Marriott Montreal Airport,"6500 Place Robert-Joncas, Montreal, Quebec, Canada",324
148,CA,Montreal,Hotel Le Saint Andre,"1285 rue St-Andre, Montreal, Quebec, Canada",366
149,CA,Montreal,Super 8 by Wyndham Lachenaie/Terrebonne,"1155 Yves Blais, Terrebonne, Quebec, Canada",481
150,CA,Montreal,Hotel Quartier des Spectacles,"17 Sainte-Catherine Ouest, Montreal, Quebec, Canada",436
151,CA,Montreal,Montreal South KOA,"130 montee Monette, Saint-Philippe, Quebec, Canada",57
152,CA,Montreal,Hampton Inn by Hilton Montreal Downtown,"985 Boul. St-Laurent, Montreal, Quebec, Canada",29
153,CA,Montreal,Auberge Saint-Paul,"347 Saint Paul Est, Montreal, Quebec, Canada",167
154,CA,Montreal,Auberge Saintlo Montreal,"1030 Mackay, Montreal, Quebec, Canada",459
155,CA,Montreal,Hotel Chateau-Bromont,"90 Stanstead St, Bromont, Quebec, Canada",1068
156,CA,Montreal,Loft Hotel Montreal,"334 Terrasse St Denis, Montreal, Quebec, Canada",319
157,CA,Montreal,Courtyard Montreal West Island/Baie D’Urfe,"20000 Trans Canada Highway, Baie-D'Urfe, Quebec, Canada",146
158,CA,Montreal,Alternative Hostel of Old Montreal,"358 Rue Saint-Pierre, Montreal, Quebec, Canada",235
159,CA,Montreal,Hotel Dorval - Beausejour Apartments,"440, Roy Avenue, Dorval, Quebec, Canada",254
160,CA,Montreal,Microtel Inn & Suites Casselman,"17 Rue Industriel, Casselman, Ontario, Canada",390
161,CA,Montreal,Hotel Ambrose,"3422 rue Stanley, Montreal, Quebec, Canada",347
162,CA,Montreal,"Holiday Inn Express St. Jean sur Richelieu, an IHG Hotel","700 Rue Gadbois Street, Saint-Jean-sur-Richelieu, Quebec, Canada",281
163,CA,Montreal,Uville Hotel Montreal,"204 Place d'Youville, Montreal, Quebec, Canada",59
164,CA,Montreal,Quality Hotel Dorval Aeroport,"7700 Cote de Liesse, Montreal, Quebec, Canada",460
165,CA,Montreal,Habitation du Vieux Montreal,"401 Saint Laurent, Montreal, Quebec, Canada",80
166,CA,Montreal,leQube Apartments Saint Hubert,"3990 rue Saint Hubert, Montreal, Quebec, Canada",76
167,CA,Montreal,"Humaniti Hotel Montreal, Autograph Collection","340 de la Gauchetiere O, Montreal, Quebec, Canada",59
168,CA,Montreal,"Holiday Inn Express & Suites Saint - Hyacinthe, an IHG Hotel","1500 Rue Daniel Johnson Street East, Saint Hyacinthe, Quebec, Canada",287
169,CA,Montreal,Baymont by Wyndham Montreal Airport,"3660 Rue Griffith, Montreal, Quebec, Canada",123
170,CA,Montreal,Auberge Manoir Ville-Marie,"3130 Rue Ste-Catherine East, Montreal, Quebec, Canada",289
171,CA,Montreal,Hotel de L'Elysee,"1633, rue Saint-Hubert, Montreal, Quebec, Canada",57
172,CA,Montreal,Delta Hotels by Marriott Sherbrooke Conference Center,"2685 Rue King Ouest, Sherbrooke, Quebec, Canada",337
173,CA,Montreal,Auberge Casa de Mateo,"438 St Francois Xavier, Montreal, Quebec, Canada",83
174,CA,Montreal,Le Simone,"1571 rue Saint-Andre, Montreal, Quebec, Canada",183
175,CA,Montreal,Quality Inn & Suites Brossard,"6680 Taschereau Boulevard, Brossard, Quebec, Canada",233
176,CA,Montreal,Courtyard Montreal Brossard,"3300 Rue De L'Eclipse, Brossard, Quebec, Canada",21
177,CA,Montreal,Sonder Le Victoria,"411 Rue des Recollets, Montreal, Quebec, Canada",78
178,CA,Montreal,Homewood Suites By Hilton Montreal Midtown,"6939 Decarie, Montreal, Quebec, Canada",25
179,CA,Montreal,Auberge St. Jacques,"6120 Rue Saint-Jacques, Montreal, Quebec, Canada",150
180,CA,Montreal,Anne Ma Soeur Anne,"4119 Rue Saint Denis, Montreal, Quebec, Canada",152
181,CA,Montreal,Royal Versailles Hotel,"7200 Sherbrooke St. East, Montreal, Quebec, Canada",268
182,CA,Montreal,Montreal West KOA,"171 Route 338, Coteau-du-Lac, Quebec, Canada",33
