Index,Country,City,Hotel,Address,Popularity
57,CA,Toronto,Sheraton Parkway Toronto North Hotel & Suites,"600 Highway 7, Richmond Hill, Ontario, Canada",794
58,CA,Toronto,Best Western Parkway Hotel Toronto North,"600 Highway 7 E, Richmond Hill, Ontario, Canada",557
59,CA,Toronto,Homewood Suites by Hilton Toronto-Oakville,"2095 Winston Park Drive, Oakville, Ontario, Canada",537
60,CA,Toronto,Hilton Garden Inn Toronto / Markham,"300 Commerce Valley Dr. East, Markham, Ontario, Canada",874
61,CA,Toronto,The Drake Hotel,"1150 Queen St W, Toronto, Ontario, Canada",778
62,CA,Toronto,Hilton Garden Inn Toronto/Ajax,"500 Beck Cres, Ajax, Ontario, Canada",730
63,CA,Toronto,Toronto Airport Marriott Hotel,"901 Dixon Road, Toronto, Ontario, Canada",1002
64,CA,Toronto,Hilton Garden Inn Toronto / Brampton,"2648 Steeles Ave E, Brampton, Ontario, Canada",593
65,CA,Toronto,Super 8 by Wyndham Ajax/Toronto ON,"210 Westney Rd S, Ajax, Ontario, Canada",505
66,CA,Toronto,Old Mill Toronto Hotel,"9 Old Mill Rd, Toronto, Ontario, Canada",1078
67,CA,Toronto,Hotel Victoria,"56 Yonge St, Toronto, Ontario, Canada",1295
68,CA,Toronto,Hilton Garden Inn Toronto/Oakville,"2774 South Sheridan Way, Oakville, Ontario, Canada",673
69,CA,Toronto,"Country Inn & Suites by Radisson, Toronto Mississauga, ON","7040 Edwards Boulevard, Mississauga, Ontario, Canada",480
70,CA,Toronto,"Staybridge Suites Toronto - Vaughan South , an IHG hotel","3600 Steeles Ave W, Vaughan, Ontario, Canada",573
71,CA,Toronto,Best Western Plus Travel Hotel Toronto Airport,"5503 Eglinton Ave W, Toronto, Ontario, Canada",1479
72,CA,Toronto,Days Inn by Wyndham Toronto West Mississauga,"4635 Tomken Rd, Mississauga, Ontario, Canada",571
73,CA,Toronto,Town Inn Suites,"620 Church St, Toronto, Ontario, Canada",1069
74,CA,Toronto,"Crowne Plaza Toronto Airport, an IHG Hotel","33 Carlson Crt, Toronto, Ontario, Canada",1436
75,CA,Toronto,Gladstone House,"1214 Queen St W, Toronto, Ontario, Canada",1057
76,CA,Toronto,Hilton Garden Inn Toronto Airport,"3311 Caroga Dr, Mississauga, Ontario, Canada",1433
77,CA,Toronto,Homewood Suites by Hilton Toronto Airport Corporate Centre,"5515 Eglinton Ave W, Toronto, Ontario, Canada",1250
78,CA,Toronto,Hampton Inn by Hilton Toronto Airport Corporate Centre,"5515 Eglinton Avenue West, Toronto, Ontario, Canada",1286
79,CA,Toronto,Executive Hotel Cosmopolitan,"8 Colborne St, Toronto, Ontario, Canada",1330
80,CA,Toronto,Toronto Don Valley Hotel & Suites,"175 Wynford Dr, Toronto, Ontario, Canada",1147
81,CA,Toronto,Sheraton Toronto Airport Hotel & Conference Centre,"801 Dixon Rd, Toronto, Ontario, Canada",1135
82,CA,Toronto,Novotel Toronto North York,"3 Park Home Ave, Toronto, Ontario, Canada",1175
83,CA,Toronto,Delta Hotels by Marriott Toronto East,"2035 Kennedy Rd, Toronto, Ontario, Canada",979
84,CA,Toronto,The SoHo Hotel & Residences,"318 Wellington St W, Toronto, Ontario, Canada",1209
85,CA,Toronto,Radisson Hotel Toronto East,"55 Hallcrown Pl, Toronto, Ontario, Canada",959
86,CA,Toronto,TownePlace Suites by Marriott Mississauga-Airport Corporate Centre,"5050 Orbitor Drive, Mississauga, Ontario, Canada",891
87,CA,Toronto,Sandman Signature Toronto Airport Hotel,"55 Reading Crt, Toronto, Ontario, Canada",1011
88,CA,Toronto,Fairfield Inn & Suites Toronto Brampton,"150 Westcreek Blvd, Brampton, Ontario, Canada",365
89,CA,Toronto,Courtyard by Marriott Toronto Brampton,"90 Biscayne Cres, Brampton, Ontario, Canada",333
90,CA,Toronto,"Holiday Inn Express & Suites Toronto Airport West, an IHG Hotel","5599 Ambler Drive, Mississauga, Ontario, Canada",393
91,CA,Toronto,Courtyard Toronto Mississauga/Meadowvale,"7015 Century Avenue, Mississauga, Ontario, Canada",332
92,CA,Toronto,TownePlace Suites by Marriott Toronto Oakville,"754 Bronte Rd, Oakville, Ontario, Canada",233
93,CA,Toronto,Sonesta ES Suites Toronto Markham,"355 South Park Road, Thornhill, Vaughan, Ontario, Canada",363
94,CA,Toronto,Homewood Suites by Hilton Toronto Vaughan,"618 Applewood Cres, Vaughan, Ontario, Canada",930
95,CA,Toronto,Monte Carlo Inn Toronto Markham,"8900 Woodbine Ave, Markham, Ontario, Canada",328
96,CA,Toronto,"Holiday Inn Toronto International Airport, an IHG Hotel","970 Dixon Road, Toronto, Ontario, Canada",1020
97,CA,Toronto,1 Hotel Toronto,"550 Wellington St W, Toronto, Ontario, Canada",397
98,CA,Toronto,Residence Inn by Marriott Toronto Markham,"55 Minthorn Blvd, Markham, Ontario, Canada",251
99,CA,Toronto,Delta Hotels by Marriott Toronto Markham,"50 East Valhalla Drive, Markham, Ontario, Canada",294
100,CA,Toronto,Executive Residency By Best Western Toronto-Mississauga,"6791 Hurontario St, Mississauga, Ontario, Canada",199
101,CA,Toronto,By The Park Bed and Breakfast,"92 Indian Grove, Toronto, Ontario, Canada",628
102,CA,Toronto,Comfort Inn Toronto Northeast,"8330 Woodbine Ave, Markham, Ontario, Canada",273
103,CA,Toronto,"Holiday Inn Express & Suites Toronto - Markham, an IHG Hotel","10 East Pearce Street, Richmond Hill, Ontario, Canada",290
104,CA,Toronto,Best Western Plus Toronto North York Hotel & Suites,"50 Norfinch Dr, Toronto, Ontario, Canada",880
105,CA,Toronto,Courtyard by Marriott Toronto Vaughan,"150 Interchange Way, Vaughan, Ontario, Canada",267
106,CA,Toronto,Courtyard Toronto Northeast/Markham,"7095 Woodbine Avenue, Markham, Ontario, Canada",265
107,CA,Toronto,Residence Inn by Marriott Toronto Vaughan,"11 Interchange Way, Vaughan, Ontario, Canada",309
108,CA,Toronto,Courtyard by Marriott Toronto Markham,"65 Minthorn Boulevard, Markham, Ontario, Canada",270
109,CA,Toronto,Home2 Suites by Hilton Toronto Brampton,"200 Steelwell Road, Brampton, Ontario, Canada",106
110,CA,Toronto,Motel 6 Toronto Mississauga,"2935 Argentia Rd, Mississauga, Ontario, Canada",168
111,CA,Toronto,Best Western Premier Toronto Airport Carlingview Hotel,"135 Carlingview Dr, Toronto, Ontario, Canada",618
112,CA,Toronto,Hyatt Place Toronto/Mississauga Centre,"5787 Hurontario St, Mississauga, Ontario, Canada",158
113,CA,Toronto,Fairfield Inn & Suites Toronto Mississauga,"35 Courtneypark Dr W, Mississauga, Ontario, Canada",233
114,CA,Toronto,Homewood Suites by Hilton Toronto-Markham,"50 Bodrington Crt, Markham, Ontario, Canada",724
115,CA,Toronto,Motel 6 Toronto East - Whitby,"165 Consumers Dr, Whitby, Ontario, Canada",202
116,CA,Toronto,"Holiday Inn Express & Suites Mississauga-Toronto Southwest, an IHG Hotel","2125 North Sheridan Way, Mississauga, Ontario, Canada",199
117,CA,Toronto,Hilton Garden Inn Toronto/Mississauga,"100 Traders Boulevard, Mississauga, Ontario, Canada",222
118,CA,Toronto,Best Western Plus Executive Inn,"38 Estate Dr, Toronto, Ontario, Canada",815
119,CA,Toronto,Comfy Guest House and Suite,"250 Gerrard St E, Toronto, Ontario, Canada",625
120,CA,Toronto,Comfort Inn & Conference Centre Toronto Airport,"240 Belfield Rd, Toronto, Ontario, Canada",506
121,CA,Toronto,Days Inn by Wyndham Toronto East Lakeview,"2151 Kingston Rd, Toronto, Ontario, Canada",480
122,CA,Toronto,Bisha Hotel Toronto,"80 Blue Jays Way, Toronto, Ontario, Canada",455
123,CA,Toronto,Fairfield Inn by Marriott Toronto Oakville,"2937 Sherwood Heights Dr, Oakville, Ontario, Canada",183
124,CA,Toronto,Studio 6 Toronto - Mississauga,"60 Britannia Rd E, Mississauga, Ontario, Canada",84
125,CA,Toronto,Embassy Suites by Hilton Toronto Airport,"262 Carlingview Dr, Toronto, Ontario, Canada",599
126,CA,Toronto,Home2 Suites by Hilton Milton Ontario,"Home 2 Suites By Hilton 8490 Parkhill Dr, Milton, Ontario, Canada",459
127,CA,Toronto,Days Inn by Wyndham Toronto East Beaches,"1684 Queen St E, Toronto, Ontario, Canada",554
128,CA,Toronto,Quality Inn & Suites,"2930 South Sheridan Way, Oakville, Ontario, Canada",559
129,CA,Toronto,"Motel 6 Brampton, On - Toronto","160 Steelwell Rd, Brampton, Ontario, Canada",93
130,CA,Toronto,Monte Carlo Inn Toronto West Suites,"1886 Dundas St E, Mississauga, Ontario, Canada",144
131,CA,Toronto,Quality Inn & Suites Mississauga,"5585 Ambler Dr, Mississauga, Ontario, Canada",476
132,CA,Toronto,Hilton Garden Inn Toronto Brampton West,"200 Steelwell Road, Brampton, Ontario, Canada",65
133,CA,Toronto,Courtyard Toronto Mississauga West,"290 Derry Road West, Mississauga, Ontario, Canada",101
134,CA,Toronto,"Holiday Inn Toronto-Airport East, an IHG Hotel","600 Dixon Road, Toronto, Ontario, Canada",497
135,CA,Toronto,Motel 6 Toronto West - Burlington - Oakville,"4345 North Service Rd, Burlington, Ontario, Canada",175
136,CA,Toronto,DoubleTree by Hilton Toronto Airport,"925 Dixon Rd, Toronto, Ontario, Canada",424
137,CA,Toronto,HI Toronto,"76 Church St, Toronto, Ontario, Canada",521
138,CA,Toronto,Hotel Carlingview Toronto Airport,"221 Carlingview Dr, Toronto, Ontario, Canada",694
139,CA,Toronto,Monte Carlo Inn & Suites Downtown Markham,"7255 Warden Ave, Markham, Ontario, Canada",743
140,CA,Toronto,Super 8 by Wyndham Toronto East on,"3280 Kingston Rd, Toronto, Ontario, Canada",385
141,CA,Toronto,"Homewood Suites by Hilton Ajax, Ontario, Canada","600 Beck Cres, Ajax, Ontario, Canada",485
142,CA,Toronto,Windsor Arms Hotel,"18 Saint Thomas St, Toronto, Ontario, Canada",440
